,url,label,fname,fsize,error,time
0,http://blog.anytimefitness.com,BRAND OWNED,blog_anytimefitness_com,297368,[Errno 2] No such file or directory: '../data/sample_data/htmls/blog_anytimefitness_com',0.25613770505879074
1,http://caninestyles.com,BRAND OWNED,caninestyles_com,50806,[Errno 2] No such file or directory: '../data/sample_data/htmls/caninestyles_com',0.5020096090156585
2,http://travel-blog.waytoindia.com,BRAND OWNED,ravel-blog_waytoindia_com,572140,[Errno 2] No such file or directory: '../data/sample_data/htmls/ravel-blog_waytoindia_com',2.020741987042129
3,http://theflooringgirl.com,BRAND OWNED,eflooringgirl_com,346198,[Errno 2] No such file or directory: '../data/sample_data/htmls/eflooringgirl_com',3.124188334099017
4,http://meetingsmeanbusiness.com,BRAND OWNED,meetingsmeanbusiness_com,65850,[Errno 2] No such file or directory: '../data/sample_data/htmls/meetingsmeanbusiness_com',6.482634531101212
5,http://traditionalartisanshow.com,BRAND OWNED,raditionalartisanshow_com,148494,[Errno 2] No such file or directory: '../data/sample_data/htmls/raditionalartisanshow_com',1.3497046770062298
6,http://cannabusiness.law,BRAND OWNED,cannabusiness_law,915504,[Errno 2] No such file or directory: '../data/sample_data/htmls/cannabusiness_law',1.852857775054872
7,http://oogalights.com,BRAND OWNED,oogalights_com,178443,[Errno 2] No such file or directory: '../data/sample_data/htmls/oogalights_com',2.8208408220671117
8,http://epare.com,BRAND OWNED,epare_com,147758,[Errno 2] No such file or directory: '../data/sample_data/htmls/epare_com',2.474079396110028
9,http://jhfinedining.com,BRAND OWNED,jhfinedining_com,86692,[Errno 2] No such file or directory: '../data/sample_data/htmls/jhfinedining_com',0.7272267900407314
10,http://jhavalanche.org,BRAND OWNED,jhavalanche_org,77080,[Errno 2] No such file or directory: '../data/sample_data/htmls/jhavalanche_org',1.749071369995363
11,http://leustowels.com,BRAND OWNED,leustowels_com,1085176,[Errno 2] No such file or directory: '../data/sample_data/htmls/leustowels_com',2.1550639080815017
12,http://jeffbullas.com,BRAND OWNED,jeffbullas_com,168452,[Errno 2] No such file or directory: '../data/sample_data/htmls/jeffbullas_com',1.3163830511039123
13,http://serviceautopilot.com,BRAND OWNED,erviceautopilot_com,321598,[Errno 2] No such file or directory: '../data/sample_data/htmls/erviceautopilot_com',1.2835186430020258
14,http://firemecca.com,BRAND OWNED,firemecca_com,49495,[Errno 2] No such file or directory: '../data/sample_data/htmls/firemecca_com',0.5183767870767042
15,http://roadtrips.com,BRAND OWNED,roadtrips_com,501166,[Errno 2] No such file or directory: '../data/sample_data/htmls/roadtrips_com',1.0574446390382946
16,http://justdatesyrup.com,BRAND OWNED,justdatesyrup_com,2327884,[Errno 2] No such file or directory: '../data/sample_data/htmls/justdatesyrup_com',0.9537378640379757
17,http://blog.safeauto.com,BRAND OWNED,blog_safeauto_com,52602,[Errno 2] No such file or directory: '../data/sample_data/htmls/blog_safeauto_com',2.806450189091265
18,http://gazellenutrition.com,BRAND OWNED,gazellenutrition_com,284818,[Errno 2] No such file or directory: '../data/sample_data/htmls/gazellenutrition_com',2.9626350150210783
19,http://criminaldefenseattorneytampa.com,BRAND OWNED,criminaldefenseattorneytampa_com,130414,[Errno 2] No such file or directory: '../data/sample_data/htmls/criminaldefenseattorneytampa_com',1.0701761320233345
20,http://amandahope.org,BRAND OWNED,amandahope_org,177144,[Errno 2] No such file or directory: '../data/sample_data/htmls/amandahope_org',3.4869241900742054
